id,block,trialno_full,trialno_block,stim,choice,correct,response_time,feedback,money,run
subj_1,6,109,49,4,2,1,743.400000000023,1,160,2
subj_1,6,110,50,2,1,1,872,1,160,2
subj_1,6,111,51,6,2,1,1358,1,160,2
subj_1,6,112,52,5,2,0,1434.59999999998,-1,160,2
subj_1,6,113,53,3,1,1,855.900000000023,11,180,2
subj_1,6,114,54,5,1,1,888.5,-1,180,2
subj_1,6,115,55,5,2,0,967.800000000047,11,200,2
subj_1,6,116,56,4,2,1,1065.80000000005,1,200,2
subj_1,6,117,57,5,1,1,981.70000000007,-1,200,2
subj_1,6,118,58,4,2,1,989,1,200,2
subj_1,6,119,59,2,1,1,884.300000000047,1,200,2
subj_1,6,120,60,3,1,1,767.599999999977,11,220,2
subj_1,7,121,1,3,1,1,822.599999999977,-1,0,2
subj_1,7,122,2,1,2,1,950.5,11,20,2
subj_1,7,123,3,1,2,1,699.20000000007,11,40,2
subj_1,7,124,4,3,1,1,593.800000000047,11,60,2
subj_1,7,125,5,4,2,1,924.400000000023,1,60,2
subj_1,7,126,6,3,1,1,658.400000000023,11,80,2
subj_1,7,127,7,4,2,1,761,1,80,2
subj_1,7,128,8,2,1,1,1120.90000000002,1,80,2
subj_1,7,129,9,3,1,1,812.900000000023,11,100,2
subj_1,7,130,10,6,1,0,798.900000000023,1,100,2
subj_1,7,131,11,1,2,1,1085.5,11,120,2
subj_1,7,132,12,2,2,0,1156.80000000005,-11,100,2
subj_1,7,133,13,3,1,1,845.400000000023,11,120,2
subj_1,7,134,14,3,1,1,700,11,140,2
subj_1,7,135,15,3,1,1,598.599999999977,-1,140,2
subj_1,7,136,16,2,2,0,1055.20000000007,1,140,2
subj_1,7,137,17,2,1,1,755.900000000023,1,140,2
subj_1,7,138,18,3,1,1,704.5,11,160,2
subj_1,7,139,19,5,2,0,1195.09999999998,-1,160,2
subj_1,7,140,20,5,2,0,665.70000000007,11,180,2
subj_1,7,141,21,4,2,1,2063.70000000007,1,180,2
subj_1,7,142,22,4,2,1,1205.59999999998,-11,160,2
subj_1,7,143,23,1,2,1,926.20000000007,11,180,2
subj_1,7,144,24,1,2,1,753.5,-1,180,2
subj_1,7,145,25,5,2,0,890.099999999977,-1,180,2
subj_1,7,146,26,5,1,1,1079.40000000002,11,200,2
subj_1,7,147,27,5,2,0,654.70000000007,-1,200,2
subj_1,7,148,28,5,2,0,699.300000000047,11,220,2
subj_1,7,149,29,2,2,0,800,-11,200,2
subj_1,7,150,30,5,1,1,992.599999999977,11,220,2
subj_1,7,151,31,4,2,1,623.20000000007,1,220,2
subj_1,7,152,32,6,2,1,951.099999999977,1,220,2
subj_1,7,153,33,4,1,0,915.800000000047,-11,200,2
subj_1,7,154,34,5,2,0,865.70000000007,11,220,2
subj_1,7,155,35,1,2,1,705.70000000007,11,240,2
subj_1,7,156,36,4,2,1,1204.30000000005,-11,220,2
subj_1,7,157,37,6,1,0,1166.90000000002,-11,200,2
subj_1,7,158,38,2,2,0,1390.90000000002,-11,180,2
subj_1,7,159,39,1,2,1,1344.09999999998,11,200,2
subj_1,7,160,40,2,1,1,724.800000000047,1,200,2
subj_1,7,161,41,6,1,0,878.70000000007,1,200,2
subj_1,7,162,42,6,1,0,1426,-11,180,2
subj_1,7,163,43,6,1,0,1241.29999999981,1,180,2
subj_1,7,164,44,1,2,1,1354.59999999986,11,200,2
subj_1,7,165,45,2,2,0,981.199999999953,-11,180,2
subj_1,7,166,46,2,2,0,920.5,-11,160,2
subj_1,7,167,47,4,2,1,1486.39999999991,-11,140,2
subj_1,7,168,48,1,2,1,657.699999999953,11,160,2
subj_1,7,169,49,2,1,1,1478.29999999981,1,160,2
